OBJECTID,ID,Name,LastUpdated,Area,Length
213,116760,Alfriston Clergy House,12/20/2016 3:45:35 PM,8900.59325790405,581.57034606963
214,127204,River Wey Navigations,12/20/2016 3:45:35 PM,8564.55481719971,700.789593903939
215,127205,River Wey Navigations,12/20/2016 3:45:35 PM,6174.0493850708,735.756164513714
216,127497,Princes Risborough Manor House,12/20/2016 3:45:35 PM,6185.51327514648,332.714160761033
217,127250,West Wight,12/20/2016 3:45:35 PM,6647.66848754883,387.895194921102
218,145796,Stoneacre,12/20/2016 3:45:35 PM,3212.68446350098,226.856025385391
219,178664,Smallhythe Place,12/20/2016 3:45:35 PM,4650.52795410156,304.011190436278
220,143804,Lindsey House,12/20/2016 3:45:35 PM,2287.14747619629,197.688090311174
221,199282,Sprivers,12/20/2016 3:45:35 PM,3214.50955963135,262.392341646243
222,188630,Fenton House,12/20/2016 3:45:35 PM,4718.60676574707,374.751057309242
223,127200,Cedar House,12/20/2016 3:45:35 PM,2092.90115356445,190.828959976483
224,126770,The King's Head,12/20/2016 3:45:35 PM,3321.23255157471,303.377592653694
225,143840,Ham House and Garden,12/20/2016 3:45:35 PM,5182.92993164063,631.639089901306
226,127182,Cliveden Estate,12/20/2016 3:45:35 PM,2679.48708343506,376.165538127665
227,127211,Shalford Mill,12/20/2016 3:45:35 PM,2927.89734649658,294.114048048537
228,117012,River Wey Navigations,12/20/2016 3:45:35 PM,3038.61656951904,292.084636582197
229,117033,River Wey Navigations,12/20/2016 3:45:35 PM,3525.68153381348,369.243245430245
230,117123,River Wey Navigations,12/20/2016 3:45:35 PM,6079.35779571533,1002.02803943969
231,116158,Lamb House Rye,12/20/2016 3:45:35 PM,1466.24975585938,180.51744766564
232,116129,Sutton House,12/20/2016 3:45:35 PM,801.604103088379,124.860901664665
233,143808,Blewcoat School,12/20/2016 3:45:35 PM,192.740783691406,55.7437000749276
234,,Roman Bath,4/28/2017 11:59:28 AM,102.898910522461,40.702158957606
235,143832,"George Inn, Southwark",12/20/2016 3:45:35 PM,90.6695098876953,38.1903535086551
236,116131,Carlyle's House,12/20/2016 3:45:35 PM,1137.70874023438,139.076823915955
237,117194,Old Soar Manor,12/20/2016 3:45:35 PM,294.586318969727,71.9819605447363
238,117684,2 Willow Road,4/28/2017 11:59:28 AM,492.289169311523,129.086290985533
239,116142,Quebec House,12/20/2016 3:45:35 PM,1464.93728637695,154.717968024921
240,184070,Cliveden Estate,12/20/2016 3:45:35 PM,335.086753845215,74.8945308944057
241,127483,Ashridge Estate,12/20/2016 3:45:35 PM,555.339897155762,85.1862675592378
242,127181,Cliveden Estate,12/20/2016 3:45:35 PM,1184.45030212402,185.878235343679
243,127183,Cliveden Estate,12/20/2016 3:45:35 PM,1526.16228485107,329.88010280292
244,117037,River Wey Navigations,12/20/2016 3:45:35 PM,1165.98690795898,145.196607692098
245,177276,Long Crendon Courthouse,12/20/2016 3:45:35 PM,517.302940368652,100.096625812448
246,127217,Winchester City Mill,12/20/2016 3:45:35 PM,647.053394317627,174.499893720341
247,126495,Sandham Memorial Chapel,12/20/2016 3:45:35 PM,1917.59306335449,189.040089474475
248,2222698,Reigate Hill and Gatton Park,12/20/2016 3:45:35 PM,19057.4406433105,588.864378432928
249,2222916,Standen House and Garden,12/20/2016 3:45:35 PM,60778.6160430908,1613.36081565488
250,3017200,Hatchlands Park,12/20/2016 3:45:35 PM,42777.7588424683,3270.08420095879
251,123912,Ashdown House,12/20/2016 3:45:35 PM,466752.074783325,3726.48576885672
252,123913,Buscot and Coleshill Estates,12/20/2016 3:45:35 PM,202922.727668762,2456.4593135372
253,123912,Ashdown House,12/20/2016 3:45:35 PM,159027.331817627,2055.07793019152
254,177392,Buscot and Coleshill Estates,12/20/2016 3:45:35 PM,5213.89925384521,298.448838131838
255,177418,Buscot and Coleshill Estates,12/20/2016 3:45:35 PM,3263.53595733643,282.528210230722
256,1068875,Chastleton House,12/20/2016 3:45:35 PM,102423.558494568,1509.24286163136
257,1068877,Chastleton House,12/20/2016 3:45:35 PM,14419.1615600586,555.977700750014
258,1068878,Chastleton House,12/20/2016 3:45:35 PM,871.519561767578,124.660254595419
259,127423,Ascott Estate,12/20/2016 3:45:35 PM,180726.865371704,2841.5783652482
260,116156,Sheffield Park and Garden,12/20/2016 3:45:35 PM,752651.633419037,5880.33938674745
261,127562,Clumber Park,12/20/2016 3:45:35 PM,6966757.18745422,34958.8567261527
